X-Duration Times,,,Function Exec Time,,,Warm Times,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
dd-cmd_rpi,26.71559142,,dd-cmd_rpi,26.2752,,dd-cmd_rpi,0.44039142,,,,,,,,,,
dd-cmd_nano,30.13790735,,dd-cmd_nano,29.7545,,dd-cmd_nano,0.38340735,,,,,,,,,,
fast-fourier-transform_rpi,4.595721758,,fast-fourier-transform_rpi,2.835052632,,fast-fourier-transform_rpi,1.760669126,,,,,,,,,,
fast-fourier-transform_nano,5.32821215,,fast-fourier-transform_nano,3.9401,,fast-fourier-transform_nano,1.38811215,,,,,,,,,,
floating-point-operation-cosine_rpi,18.22133054,,floating-point-operation-cosine_rpi,18.045,,floating-point-operation-cosine_rpi,0.17633054,,,,,,,,,,
floating-point-operation-cosine_nano,20.98064377,,floating-point-operation-cosine_nano,20.8279,,floating-point-operation-cosine_nano,0.15274377,,,,,,,,,,
floating-point-operation-sine_rpi,18.19656307,,floating-point-operation-sine_rpi,18.00778947,,floating-point-operation-sine_rpi,0.1887736,,,,,,,,,,
floating-point-operation-sine_nano,20.6488575,,floating-point-operation-sine_nano,20.4959,,floating-point-operation-sine_nano,0.1529575,,,,,,,,,,
floating-point-operation-sqrt_rpi,7.78322192,,floating-point-operation-sqrt_rpi,7.5922,,floating-point-operation-sqrt_rpi,0.19102192,,,,,,,,,,
floating-point-operation-sqrt_nano,8.47648571,,floating-point-operation-sqrt_nano,8.3087,,floating-point-operation-sqrt_nano,0.16778571,,,,,,,,,,
image-classification-alexnet-cpu_rpi,10.39479261,,image-classification-alexnet-cpu_rpi,5.13425,,image-classification-alexnet-cpu_rpi,5.26054261,,,,,,,,,,
image-classification-alexnet-cpu_nano,13.47153114,,image-classification-alexnet-cpu_nano,5.79775,,image-classification-alexnet-cpu_nano,7.67378114,,,,,,,,,,
image-classification-with-cpu_rpi,2.97294883,,image-classification-with-cpu_rpi,1.11326087,,image-classification-with-cpu_rpi,1.85968796,,,,,,,,,,
image-classification-with-cpu_nano,3.19641031,,image-classification-with-cpu_nano,0.862580645,,image-classification-with-cpu_nano,2.333829665,,,,,,,,,,
image-processing-pillow_rpi,18.87381964,,image-processing-pillow_rpi,18.1403,,image-processing-pillow_rpi,0.73351964,,,,,,,,,,
image-processing-pillow_nano,19.00452689,,image-processing-pillow_nano,18.19373333,,image-processing-pillow_nano,0.81079356,,,,,,,,,,
iperf3_rpi,10.42130149,,iperf3_rpi,10.021,,iperf3_rpi,0.40030149,,,,,,,,,,
iperf3_nano,10.46699287,,iperf3_nano,10.0549,,iperf3_nano,0.41209287,,,,,,,,,,
matrix-multiplication-high_rpi,7.93635758,,matrix-multiplication-high_rpi,6.4842,,matrix-multiplication-high_rpi,1.45215758,,,,,,,,,,
matrix-multiplication-high_nano,8.28245325,,matrix-multiplication-high_nano,6.9739,,matrix-multiplication-high_nano,1.30855325,,,,,,,,,,
matrix-multiplication-medium_rpi,5.40950705,,matrix-multiplication-medium_rpi,4.0068,,matrix-multiplication-medium_rpi,1.40270705,,,,,,,,,,
matrix-multiplication-medium_nano,5.69737703,,matrix-multiplication-medium_nano,4.3723,,matrix-multiplication-medium_nano,1.32507703,,,,,,,,,,
matrix-multiplication-low_rpi,2.81502064,,matrix-multiplication-low_rpi,1.4682,,matrix-multiplication-low_rpi,1.34682064,,,,,,,,,,
matrix-multiplication-low_nano,2.69982543,,matrix-multiplication-low_nano,1.4209,,matrix-multiplication-low_nano,1.27892543,,,,,,,,,,
object-classification-yolo-no-gpu_rpi,5.17072895,,object-classification-yolo-no-gpu_rpi,5.082916667,,object-classification-yolo-no-gpu_rpi,0.087812283,,,,,,,,,,
object-classification-yolo-no-gpu_nano,6.14882763,,object-classification-yolo-no-gpu_nano,6.069166667,,object-classification-yolo-no-gpu_nano,0.079660963,,,,,,,,,,
sentiment-analysis_rpi,6.07852501,,sentiment-analysis_rpi,3.9712,,sentiment-analysis_rpi,2.10732501,,,,,,,,,,
sentiment-analysis_nano,6.92204192,,sentiment-analysis_nano,4.6179,,sentiment-analysis_nano,2.30414192,,,,,,,,,,
sorter_rpi,2.82606383,,sorter_rpi,2.8,,sorter_rpi,0.02606383,,,,,,,,,,
sorter_nano,2.97664572,,sorter_nano,2.96,,sorter_nano,0.01664572,,,,,,,,,,
speech-to-text_rpi,5.44346168,,speech-to-text_rpi,5.1873,,speech-to-text_rpi,0.25616168,,,,,,,,,,
speech-to-text_nano,5.84261477,,speech-to-text_nano,5.5823,,speech-to-text_nano,0.26031477,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,image-classification-with-cuda_nano,11.00472527,,,,,,,,,,,,,
,,,object-classification-yolo-gpu_nano,4.860571429,,,,,,,,,,,,,
,,,image-classification-alexnet-gpu_nano,28.816125,,,,,,,,,,,,,
Warm Times,,,,,,,,,,,,,,,,,
,,,,,,Rpi,,,,,,,,,,,
,,,,,AppName,deploytime,deploytime,warm,cold,,,,,,,,
dd-cmd_rpi,0.44039142,,,,,ms,s,s,s,,,,,,,,
dd-cmd_nano,0.38340735,,,,dd-cmd,6943.425,6.943425,0.44039142,7.38381642,,,,,,,,
fast-fourier-transform_rpi,1.760669126,,,,fast-fourier-transform,7412.421053,7.412421053,1.760669126,9.173090179,,,,,,,,
fast-fourier-transform_nano,1.38811215,,,,floating-point-operation-cosine,7374.95,7.37495,0.17633054,7.55128054,,,,,,,,
floating-point-operation-cosine_rpi,0.17633054,,,,floating-point-operation-sine,7840.394737,7.840394737,0.1887736,8.029168337,,,,,,,,
floating-point-operation-cosine_nano,0.15274377,,,,floating-point-operation-sqrt,8039.675,8.039675,0.19102192,8.23069692,,,,,,,,
floating-point-operation-sine_rpi,0.1887736,,,,image-classification-alexnet-cpu,24234.5,24.2345,5.26054261,29.49504261,,,,,,,,
floating-point-operation-sine_nano,0.1529575,,,,image-classification-with-cpu,8421.1,8.4211,1.85968796,10.28078796,,,,,,,,
floating-point-operation-sqrt_rpi,0.19102192,,,,image-processing-pillow,7751.8125,7.7518125,0.73351964,8.48533214,,,,,,,,
floating-point-operation-sqrt_nano,0.16778571,,,,iperf3,6446.35,6.44635,0.40030149,6.84665149,,,,,,,,
image-classification-alexnet-cpu_rpi,5.26054261,,,,matrix-multiplication-high,6323.0375,6.3230375,1.45215758,7.77519508,,,,,,,,
image-classification-alexnet-cpu_nano,7.67378114,,,,matrix-multiplication-low,6658.825,6.658825,1.34682064,8.00564564,,,,,,,,
image-classification-with-cpu_rpi,1.85968796,,,,matrix-multiplication-medium,6456.5,6.4565,1.40270705,7.85920705,,,,,,,,
image-classification-with-cpu_nano,2.333829665,,,,object-classification-yolo-no-gpu,3866.775,3.866775,0.087812283,3.954587283,,,,,,,,
