Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds),,,,Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds)
1,98.351,4.918,,,,1,87.864,4.393
1,97.339,4.867,,,,1,88.396,4.42
1,97.578,4.879,,,,1,88.602,4.43
2,53.335,5.333,,,,2,49.312,4.931
2,53.677,5.368,,,,2,48.697,4.87
2,53.179,5.318,,,,2,50.081,5.008
3,41.197,6.18,,,,3,36.928,5.539
3,39.475,5.921,,,,3,37.078,5.562
3,40.688,6.103,,,,3,38.858,5.829
4,31.007,6.201,,,,4,30.283,6.057
4,31.456,6.291,,,,4,30.197,6.039
4,31.292,6.258,,,,4,30.524,6.105
5,31.11,7.778,,,,5,28.925,7.231
5,31.092,7.773,,,,5,29.308,7.327
5,31.605,7.901,,,,5,28.854,7.213
6,32.611,9.783,,,,6,30.793,9.238
6,32.389,9.717,,,,6,29.539,8.862
6,32.655,9.796,,,,6,30.174,9.052
7,29.794,10.428,,,,7,28.839,10.094
7,31.039,10.864,,,,7,28.574,10.001
7,32.043,11.215,,,,7,28.839,10.094
8,31.211,12.484,,,,8,30.11,12.044
8,31.458,12.583,,,,8,31.284,12.514
8,31.344,12.538,,,,8,30.156,12.062
9,33.165,14.924,,,,9,31.449,14.152
9,32.464,14.609,,,,9,31.084,13.988
9,32.873,14.793,,,,9,31.217,14.048
10,32.933,16.466,,,,10,29.288,14.644
10,30.521,15.261,,,,10,28.905,14.453
10,31.034,15.517,,,,10,29.314,14.657
11,31.053,17.079,,,,11,29.669,16.318
11,31.65,17.407,,,,11,28.707,15.789
11,30.762,16.919,,,,11,28.787,15.833
12,31.416,18.85,,,,12,29.159,17.495
12,32.181,19.309,,,,12,29.038,17.423
12,31.979,19.187,,,,12,28.56,17.136
13,32.48,21.112,,,,13,28.734,18.677
13,32.205,20.933,,,,13,29.009,18.856
13,31.293,20.34,,,,13,28.805,18.723
14,32.598,22.819,,,,14,29.537,20.676
14,31.687,22.181,,,,14,28.958,20.271
14,31.059,21.741,,,,14,28.945,20.262
15,32.737,24.553,,,,15,29.547,22.16
15,33.311,24.983,,,,15,29.624,22.218
15,31.133,23.35,,,,15,28.686,21.515
16,32.615,26.092,,,,16,30.282,24.226
16,32.39,25.912,,,,16,29.483,23.586
16,31.48,25.184,,,,16,29.455,23.564
17,32.867,27.937,,,,17,30.556,25.973
17,33.196,28.217,,,,17,30.373,25.817
17,32.71,27.804,,,,17,30.895,26.261
18,33.502,30.152,,,,18,31.458,28.312
18,34.702,31.232,,,,18,31.143,28.029
18,33.545,30.191,,,,18,31.778,28.6
19,34.533,32.806,,,,19,29.101,27.646
19,35.98,34.181,,,,19,29.63,28.149
19,31.428,29.857,,,,19,29.134,27.677
20,33.914,33.914,,,,20,28.689,28.689
20,33.073,33.073,,,,20,29.278,29.278
20,31.006,31.006,,,,20,29.103,29.103
