[2J[HOK,9,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 0.00%, 9.527MiB / 3.871GiB, 0.24%, 19.2MB / 14MB, 0B / 0B
OK,9,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.004MiB / 50MiB, 4.01%, 22.3kB / 32.2kB, 0B / 0B
OK,9,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.00%, 9.973MiB / 50MiB, 19.95%, 5.43kB / 2.6kB, 2.74MB / 0B
OK,9,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 25.3MiB / 500MiB, 5.06%, 247kB / 45.6kB, 27.8MB / 0B
OK,9,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.00%, 5.699MiB / 125MiB, 4.56%, 66.5kB / 37.2kB, 160kB / 0B
OK,9,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.14kB / 0B, 4.1kB / 0B
OK,9,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 18.68%, 10.33MiB / 3.871GiB, 0.26%, 13.7MB / 19.1MB, 4.66MB / 0B
[2J[HOK,9,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 0.00%, 9.527MiB / 3.871GiB, 0.24%, 19.2MB / 14MB, 0B / 0B
OK,9,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.004MiB / 50MiB, 4.01%, 22.3kB / 32.2kB, 0B / 0B
OK,9,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.00%, 9.973MiB / 50MiB, 19.95%, 5.43kB / 2.6kB, 2.74MB / 0B
OK,9,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 25.3MiB / 500MiB, 5.06%, 247kB / 45.6kB, 27.8MB / 0B
OK,9,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.00%, 5.699MiB / 125MiB, 4.56%, 66.5kB / 37.2kB, 160kB / 0B
OK,9,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.14kB / 0B, 4.1kB / 0B
OK,9,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 18.68%, 10.33MiB / 3.871GiB, 0.26%, 13.7MB / 19.1MB, 4.66MB / 0B
[2J[HOK,9,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 11.75%, 9.531MiB / 3.871GiB, 0.24%, 19.2MB / 14MB, 0B / 0B
OK,9,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.004MiB / 50MiB, 4.01%, 22.3kB / 32.2kB, 0B / 0B
OK,9,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.24%, 9.973MiB / 50MiB, 19.95%, 5.43kB / 2.6kB, 2.74MB / 0B
OK,9,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.37%, 25.3MiB / 500MiB, 5.06%, 249kB / 46kB, 27.8MB / 0B
OK,9,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.20%, 5.699MiB / 125MiB, 4.56%, 66.5kB / 37.2kB, 160kB / 0B
OK,9,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.14kB / 0B, 4.1kB / 0B
OK,9,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 19.15%, 10.33MiB / 3.871GiB, 0.26%, 13.7MB / 19.2MB, 4.66MB / 0B
[2J[HOK,9,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 11.75%, 9.531MiB / 3.871GiB, 0.24%, 19.2MB / 14MB, 0B / 0B
OK,9,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.004MiB / 50MiB, 4.01%, 22.3kB / 32.2kB, 0B / 0B
OK,9,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.24%, 9.973MiB / 50MiB, 19.95%, 5.43kB / 2.6kB, 2.74MB / 0B
OK,9,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.37%, 25.3MiB / 500MiB, 5.06%, 249kB / 46kB, 27.8MB / 0B
OK,9,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.20%, 5.699MiB / 125MiB, 4.56%, 66.5kB / 37.2kB, 160kB / 0B
