[2J[HOK,9,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 0.02%, 11.02MiB / 3.871GiB, 0.28%, 118MB / 84.7MB, 0B / 0B
OK,9,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 140kB / 231kB, 0B / 0B
OK,9,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.00%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,9,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.01%, 27.18MiB / 500MiB, 5.44%, 1.83MB / 324kB, 27.8MB / 0B
OK,9,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.00%, 5.875MiB / 125MiB, 4.70%, 461kB / 262kB, 160kB / 0B
OK,9,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,9,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 0.09%, 12.47MiB / 3.871GiB, 0.31%, 82.5MB / 117MB, 4.66MB / 0B
[2J[HOK,9,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 0.02%, 11.02MiB / 3.871GiB, 0.28%, 118MB / 84.7MB, 0B / 0B
OK,9,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 140kB / 231kB, 0B / 0B
OK,9,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.00%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,9,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.01%, 27.18MiB / 500MiB, 5.44%, 1.83MB / 324kB, 27.8MB / 0B
OK,9,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.00%, 5.875MiB / 125MiB, 4.70%, 461kB / 262kB, 160kB / 0B
