Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds),,,,,Total_Time(seconds)
1,133.508,6.675,,,,,173.405
1,133.351,6.668,,,,,202.303
1,134.52,6.726,,,,,200.763
2,382.998,38.3,,,,,395.104
2,361.322,36.132,,,,,392.751
2,370.842,37.084,,,,,394.475
3,327.73,49.16,,,,,347.308
3,330.295,49.544,,,,,344.182
3,327.793,49.169,,,,,343.967
4,337.145,67.429,,,,,339.589
4,336.145,67.229,,,,,341.445
4,340.203,68.041,,,,,340.891
5,249.949,62.487,,,,,274.998
5,250.613,62.653,,,,,276.846
5,251.36,62.84,,,,,278.347
6,216.662,64.999,,,,,253.064
6,216.718,65.015,,,,,251.239
6,219.076,65.723,,,,,249.871
7,219.991,76.997,,,,,254.336
7,221.594,77.558,,,,,251.995
7,220.45,77.157,,,,,259.153
8,238.565,95.426,,,,,268.405
8,236.814,94.726,,,,,266.963
8,236.352,94.541,,,,,264.859
9,214.052,96.323,,,,,247.524
9,213.459,96.057,,,,,247.328
9,214.194,96.387,,,,,246.699
10,219.821,109.91,,,,,251.29
10,218.346,109.173,,,,,251.489
10,219.771,109.886,,,,,251.215
11,219.66,120.813,,,,,252.005
11,220.374,121.206,,,,,250.811
11,220.072,121.04,,,,,252.519
12,220.321,132.193,,,,,250.842
12,221.485,132.891,,,,,250.732
12,220.99,132.594,,,,,250.034
13,222.154,144.4,,,,,253.399
13,222.724,144.771,,,,,251.899
13,222.406,144.564,,,,,250.585
14,224.301,157.011,,,,,255.628
14,224.573,157.201,,,,,254.047
14,223.925,156.748,,,,,251.87
15,247.243,185.432,,,,,272.213
15,247.393,185.545,,,,,270.663
15,247.712,185.784,,,,,267.163
16,242.54,194.032,,,,,268.685
16,241.491,193.193,,,,,268.639
16,243.85,195.08,,,,,264.406
17,238.996,203.147,,,,,266.738
17,241.704,205.448,,,,,269.705
17,242.391,206.032,,,,,267.52
18,220.424,198.382,,,,,248.487
18,219.913,197.922,,,,,250.083
18,220.439,198.395,,,,,247.626
19,225.296,214.031,,,,,251.528
19,225.104,213.849,,,,,251.723
19,224.709,213.474,,,,,250.196
20,225.392,225.392,,,,,251.218
20,225.278,225.278,,,,,250.333
20,225.472,225.472,,,,,250.832
