Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds),,,,,Total_Time(seconds)
1,119.094,5.955,,,,,124.153
1,122.293,6.115,,,,,112.041
1,120.591,6.03,,,,,109.465
2,66.718,6.672,,,,,66.442
2,66.979,6.698,,,,,67.384
2,66.814,6.681,,,,,66.661
3,50.765,7.615,,,,,53.044
3,49.926,7.489,,,,,53
3,49.774,7.466,,,,,52.804
4,38.988,7.798,,,,,51.989
4,39.263,7.853,,,,,44.261
4,39.495,7.899,,,,,44.306
5,41.872,10.468,,,,,50.844
5,41.394,10.348,,,,,43.382
5,38.875,9.719,,,,,43.528
6,41.977,12.593,,,,,46.463
6,41.872,12.562,,,,,45.995
6,41.514,12.454,,,,,45.709
7,38.752,13.563,,,,,44.951
7,38.631,13.521,,,,,43.492
7,38.809,13.583,,,,,46.065
8,39.666,15.866,,,,,45.159
8,39.76,15.904,,,,,44.449
8,39.632,15.853,,,,,44.616
9,42.211,18.995,,,,,46.542
9,42.146,18.966,,,,,47.03
9,41.983,18.892,,,,,47.011
10,38.771,19.386,,,,,44.455
10,38.81,19.405,,,,,43.596
10,39.104,19.552,,,,,43.537
11,38.557,21.206,,,,,44.307
11,38.704,21.287,,,,,43.512
11,38.844,21.364,,,,,43.645
12,38.761,23.257,,,,,47.293
12,38.913,23.348,,,,,43.702
12,39.177,23.506,,,,,43.901
13,38.813,25.228,,,,,45.057
13,38.936,25.308,,,,,43.831
13,39.093,25.41,,,,,43.746
14,38.851,27.196,,,,,44.185
14,38.973,27.281,,,,,44.002
14,39.195,27.437,,,,,43.646
15,38.837,29.128,,,,,48.727
15,38.99,29.242,,,,,43.765
15,38.694,29.021,,,,,43.845
16,40.003,32.002,,,,,45.182
16,40.093,32.074,,,,,45.069
16,40.133,32.106,,,,,44.847
17,41.585,35.347,,,,,46.582
17,41.643,35.397,,,,,46.346
17,41.655,35.407,,,,,46.146
18,43.355,39.02,,,,,47.665
18,43.293,38.964,,,,,47.518
18,43.198,38.878,,,,,47.556
19,39.478,37.504,,,,,44.876
19,39.712,37.726,,,,,44.754
19,39.849,37.857,,,,,44.655
20,39.552,39.552,,,,,44.563
20,39.501,39.501,,,,,45.695
20,39.672,39.672,,,,,44.727
