Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds)
1,87.864,4.393
1,88.396,4.42
1,88.602,4.43
2,49.312,4.931
2,48.697,4.87
2,50.081,5.008
3,36.928,5.539
3,37.078,5.562
3,38.858,5.829
4,30.283,6.057
4,30.197,6.039
4,30.524,6.105
5,28.925,7.231
5,29.308,7.327
5,28.854,7.213
6,30.793,9.238
6,29.539,8.862
6,30.174,9.052
7,28.839,10.094
7,28.574,10.001
7,28.839,10.094
8,30.11,12.044
8,31.284,12.514
8,30.156,12.062
9,31.449,14.152
9,31.084,13.988
9,31.217,14.048
10,29.288,14.644
10,28.905,14.453
10,29.314,14.657
11,29.669,16.318
11,28.707,15.789
11,28.787,15.833
12,29.159,17.495
12,29.038,17.423
12,28.56,17.136
13,28.734,18.677
13,29.009,18.856
13,28.805,18.723
14,29.537,20.676
14,28.958,20.271
14,28.945,20.262
15,29.547,22.16
15,29.624,22.218
15,28.686,21.515
16,30.282,24.226
16,29.483,23.586
16,29.455,23.564
17,30.556,25.973
17,30.373,25.817
17,30.895,26.261
18,31.458,28.312
18,31.143,28.029
18,31.778,28.6
19,29.101,27.646
19,29.63,28.149
19,29.134,27.677
20,28.689,28.689
20,29.278,29.278
20,29.103,29.103
