Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds)
1,355.423,17.771
1,354.979,17.749
1,355.447,17.772
2,195.722,19.572
2,196.662,19.666
2,197.906,19.791
3,144.001,21.6
3,144.321,21.648
3,144.507,21.676
4,112.119,22.424
4,113.439,22.688
4,114.017,22.803
5,112.018,28.005
5,115.037,28.759
5,116.009,29.002
6,124.094,37.228
6,126.47,37.941
6,127.157,38.147
7,115.475,40.416
7,116.945,40.931
7,116.716,40.851
8,119.663,47.865
8,121.066,48.426
8,120.983,48.393
9,128.05,57.623
9,130.717,58.823
9,130.699,58.815
10,116.292,58.146
10,116.891,58.446
10,118.77,59.385
11,119.015,65.458
11,117.756,64.766
11,121.23,66.677
12,118.476,71.086
12,120.264,72.158
12,121.775,73.065
13,119.285,77.535
13,120.037,78.024
13,122.538,79.65
14,117.779,82.445
14,120.456,84.319
14,121.096,84.767
15,117.862,88.396
15,120.654,90.49
15,121.888,91.416
16,120.697,96.558
16,122.533,98.026
16,123.399,98.719
17,124.57,105.885
17,125.568,106.733
17,125.353,106.55
18,130.184,117.166
18,130.484,117.436
18,130.901,117.811
19,116.001,110.201
19,116.727,110.891
19,117.172,111.313
20,118.958,118.958
20,118.841,118.841
20,118.745,118.745
